Character ,Voiced by ,Description/role ,First appearance 
Homer Simpson ,Dan Castellaneta[2] ,"Husband of Marge; father of Bart, Lisa, and Maggie. ","""Good Night"" (The Simpsons shorts)[3]"
Marge Simpson ,Julie Kavner[2] ,"Wife of Homer; mother of Bart, Lisa, and Maggie. ","""Good Night""[3]"
Bart Simpson ,Nancy Cartwright[2] ,Oldest child and only son of Homer and Marge; brother of Lisa and Maggie. ,"""Good Night""[3]"
Lisa Simpson ,Yeardley Smith[2] ,Middle child and oldest daughter of Homer and Marge; sister of Bart and Maggie. ,"""Good Night""[3]"
Maggie Simpson ,Various[4] ,Youngest child (the baby) and daughter of Homer and Marge; sister of Bart and Lisa. ,"""Good Night""[3]"
Akira ,"George Takei,[5] Hank Azaria[2] ",Waiter at The Happy Sumo;[6] karate teacher.[7] ,"""One Fish, Two Fish, Blowfish, Blue Fish"""
"Albright, Ms. ﻿Ms. Albright ",Tress MacNeille[8] ,Sunday school teacher. ,"""The Telltale Head"""
"Amadopolis, Aristotle ","Jon Lovitz,[9] Dan Castellaneta[2] ",Owner of the Shelbyville Nuclear Power Plant.[10] ,"""Homer Defined"""
"Atkins ﻿Atkins, State Comptroller ","Harry Shearer,[11] Hank Azaria[12] ",State comptroller.[13] ,"""Lisa Gets an 'A'"""
"Bailey, Mary ﻿",Maggie Roswell[8] ,Governor of Springfield's state. ,"""Two Cars in Every Garage and Three Eyes on Every Fish"""
"Barlow ﻿Birchibald ""Birch"" T",Harry Shearer[8] ,Radio talk show host; Fox News anchor. ,"""Sideshow Bob Roberts"""
"Beardly, Jasper ﻿",Harry Shearer[8] ,Grandpa's closest neighbor in the Retirement Castle. ,"""Homer's Odyssey"""
"Benjamin, Doug, and Gary ","Harry Shearer,[8] Hank Azaria,[2] and Dan Castellaneta[2] ",Springfield University students. ,"""Homer Goes to College"""
Bill and Marty ,Dan Castellaneta[2] and Harry Shearer[8] ,KBBL Radio co-hosts. ,"""Bart vs. Thanksgiving"""
Blinky ,Unvoiced ,Three-eyed fish. ,"""Two Cars in Every Garage and Three Eyes on Every Fish"""
Blue-Haired Lawyer[14] ,Dan Castellaneta[14] ,Attorney. ,"""Bart Gets Hit by a Car"""
Boobarella ,Tress MacNeille ,Host of late night TV monster movies. ,"""I'm Spelling as Fast as I Can"""
Borton ﻿Wendell ,Russi Taylor[8] ,Student at Springfield Elementary School. ,"""Homer's Odyssey"""
"Bouvier, Gladys ﻿",Julie Kavner[2] ,Aunt of Selma and Patty Bouvier and Marge Simpson. Sister of Jacqueline Bouvier. ,"""Selma's Choice"""
"Bouvier, Jacqueline ﻿",Julie Kavner[2] ,"Mother of Selma and Patty Bouvier and Marge Simpson, Grandmother of Bart, Lisa, Maggie and Ling. ","""Bart vs. Thanksgiving"""
"Bouvier, Patty",Julie Kavner[2] ,Twin sister of Selma and older sister of Marge. ,"""Simpsons Roasting on an Open Fire"""
"Bouvier, Selma",Julie Kavner[2] ,Twin sister of Patty and older sister of Marge. Adoptive mother of Ling. ,"""Simpsons Roasting on an Open Fire"""
"Brockman, Kent",Harry Shearer[8] ,News anchor. ,"""Krusty Gets Busted"""
Bumblebee Man ,Hank Azaria[2] ,Star of slapstick sketch comedy show on Canal Ocho. ,"""Itchy & Scratchy: The Movie"""
"Burns, Charles Montgomery",Harry Shearer[8] ,Owner of the Springfield Nuclear Power Plant. ,"""Simpsons Roasting on an Open Fire"""
Capital City Goofball ,Tom Poston[15] ,Mascot of the Capital City Capitals baseball team.[16] ,"""Dancin' Homer"""
"Carlson, Carl",Hank Azaria[2] ,Springfield Nuclear Power Plant employee. ,"""Homer's Night Out"""
Crazy Cat Lady[11] ,Tress MacNeille[11] ,"Mentally ill owner of many cats. Name revealed as Eleanor Abernathy in ""See Homer Run"". ","""Girly Edition"""
"Chalmers, Superintendent Gary",Hank Azaria[2] ,Public schools superintendent. ,"""Whacking Day"""
Charlie ,Dan Castellaneta[17] ,Springfield Nuclear Power Plant employee. ,"""Life on the Fast Lane"""
Chase ,Hank Azaria[14] ,Luann Van Houten's ex-boyfriend; American Gladiator. ,"""A Milhouse Divided"""
"Christian, Scott",Dan Castellaneta[2] ,News co-anchor. ,"""Krusty Gets Busted"""
Cowboy Bob ,Albert Brooks[18] ,RV salesman.[19] ,"""The Call of the Simpsons"""
Comic Book Guy ,Hank Azaria[2] ,"Proprietor of The Android's Dungeon comic book store. Name revealed to be Jeff Albertson in ""Homer and Ned's Hail Mary Pass"". ","""Three Men and a Comic Book"""
"Costington, Mr.",Hank Azaria[12] ,President of Costington's Department Store. ,"""Trash of the Titans"""
Database ,Nancy Cartwright[2] ,Student at Springfield Elementary School. ,"""Bart's Comet"""
"Desmond, Declannd ",Eric Idle ,Documentary filmmaker. ,"""'Scuse Me While I Miss the Sky"""
Disco Stu ,Hank Azaria[12] ,Disco aficionado. ,"""Two Bad Neighbors"""
Dolph ,Tress MacNeille[8] ,Springfield Elementary School bully. ,"""The Telltale Head"""
"Doris, Lunchlady",Doris Grau[8] ,Springfield Elementary School lunch lady. ,"""Lisa's Pony"""
Duffman ,Hank Azaria[14] ,Spokes-mascot for Duff Beer. ,"""The City of New York vs. Homer Simpson"""
Eddie and Lou ,Harry Shearer[8] and Hank Azaria[2] ,Springfield police officers. ,"""There's No Disgrace Like Home"""
Ernst and Gunter ,Harry Shearer[11] and Hank Azaria[14] ,Lion tamers. ,"""$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)"""
Fat Tony ,Joe Mantegna ,Mob boss. ,"""Bart the Murderer"""
"Flanders, Maude",Maggie Roswell[8] ,Ned Flanders's deceased wife. ,"""Dead Putting Society"""
"Flanders, Ned",Harry Shearer[8] ,The Simpson family's next door neighbor; owner of The Leftorium. ,"""Simpsons Roasting on an Open Fire"""
